Item,Unit,Material (R/unit),Labour (R/unit),Default Job Notes
Aluminium Restore,each,11,35,"•	Remove all loose contaminents with a soft bristle brush
•	Spray Aluminium Cleaner, let soak for 5 to 10min and wipe off
•	Apply Alu Revivie to a soft fibre cloth and apply in circular motion till dry
•	Add coates of Alu revive till desired finish is achieved
"
Ceiling/Soffits,m²,47,55,"•	Wash ceilings where necessary.
•	Remove all dust, cobwebs or loose contamination with soft bristle brush.
•	Caulk ceilings to cornice or wall.
•	For skimmed ceilings, prime with Midas Plaster Primer.
•	Apply 2coats of Midafelt 225 (colour to be specified)"
Cornices,lm,35,35,"•	Remove loose contaminents and wash with Midas Degreaser where neccesary
•	Allow to fully dry, then sand lightly to remove gloss and get a uniform finish.
•	Caulk cornice where neccesary
•	Apply 1 coat of Universal Undercoat
•	Allow 4 hours for overcoating
•	Apply 2 coats of Midafelt 225 OR 2 coats of Waterbased Non-drip Enamel (colour to be specified)"
Crack Repairs,m²,30,45,"•	Rake out all cracks wider than 0.5mm (not hairline cracks)
•	Prime with waterproofing slurry kit OR PCT36
•	Build up cracks with REPAIR MIX
•	Smoothen or use a sponge to match existing texture
•	Open all expansion joints and seal with All Round Sealer
"
Cup Grind- Floor Prep,m²,30,45,"Note to Client: Cup grinding is a noisy and dusty process. We recommend to remove all items from the room. We aim to complete the work in the prescribed time.
•	Throuogly sweep floor to remove loose conatminents.
•	Vaccuum floor to remove all dust and finer contaminents.
•	Pass the cup-grinder once over the area to achieve a level uniform top.
•	The objective is to remove the top layer of concrete to create a key coat for the following steps."
Cup Grind- To finish with clear sealer,m²,75,90,"Note to Client: Cup grinding is a noisy and dusty process. We recommend to remove all items from the room. We aim to complete the work in the prescribed time.
•	Throuogly sweep floor to remove loose conatminents.
•	Vaccuum floor to remove all dust and finer contaminents.
•	Pass the cup-grinder once over the area to remove high spots
•	Sweep and vacuum floor to remove all dust
•	Using a straight edge, look for high spots and mark with chalk
•	Pass over with the cup-grinder for a second time to cut a smooth uniform finish. 
•	The objective is to grind down the top to a smooth, flat surface, which can be cleaned and sealed.
"
Exterior Walls Paintwork,m²,35,35,"•	Preperation work quoted separately
•	Remove all loose contaminents and let dry after Pressure Wash.
•	Allow any repair work to fully dry
•	Sand lightly and remove dust
•	Spot prime repairs with Masonry Primer. On new build Prime entire wall with Masonry Primer
•	Apply 2 coats of Midalux 240 (colour to be specified)"
Facias/Gutters,lm,30,25,"•	Ensure surfaces are clean inside and out.
•	Seal leaks and joints using All Round Sealer, use Peel and Seel for larger gaps
•	Apply 1 coat of Universal Primer
•	Apply 2 coats of Midalux 240 (colour to be secified)"
High Pressure Washing,each,980,700,"NOTE TO CLIENT: This is a noisy process and can be messy. This should not take more than the indicted days and will be cleaned up. Please point out water sources to be used to the Team Leader upon commencment of work.
•	High pressure wash min pressure 200 bar  
•	Wash to remove all salt and dirt + Loose material from area. 
•	When working on the roof use safety harness and anchor point for safety. 
•	Use drop sheet and garbage bags to collect all loose material generated. 
•	Perform cleanup of the area before commencing to with next step"
Interior Skimming,m²,75,90,"•	Complete repairs first
•	Allow fillers and repairs to dry
•	Use a steel trowel and Interior Skimfill to achieve smooth uniform surface
•	Sand lightly and wipe down before continuing to prime and paint"
